id,point,time,sim_obs
4,1,129.02,6.5347003794439615
4,1,132,6.094260605460672
4,1,144,3.457117658653643
5,0,120,1.363835167144952
5,0,121,1.466182214737202
5,0,121.98,1.8045292815106915
5,0,126,2.4976121622821417
5,0,129,2.554795954870937
5,0,131.98,2.4144469961755792
5,0,144.98,1.2738970351111232
5,1,120,3.4753773887764923
5,1,121,3.9161643442619725
5,1,121.98,4.823341765121035
5,1,126,6.509276071646356
5,1,129,6.5347003794439615
5,1,131.98,6.094260605460672
5,1,144.98,3.266026842833209
6,0,120,1.363835167144952
6,0,121.03,1.466182214737202
6,0,122.03,1.8045292815106915
6,0,126.02,2.4906913479057406
6,0,129.08,2.554795954870937
6,0,132.03,2.4144469961755792
6,0,144.03,1.3555384682946046
6,1,120,3.4753773887764923
6,1,121.03,3.9161643442619725
6,1,122.03,4.823341765121035
6,1,126.02,6.495732047484711
6,1,129.08,6.5347003794439615
6,1,132.03,6.094260605460672
6,1,144.03,3.457117658653643
7,0,120,1.363835167144952
7,0,121.03,1.466182214737202
7,0,122,1.8045292815106915
7,0,125.98,2.4906913479057406
7,0,128.98,2.556754570823434
7,0,132,2.4144469961755792
7,0,143.98,1.3555384682946046
7,1,120,3.4753773887764923
7,1,121.03,3.9161643442619725
7,1,122,4.823341765121035
7,1,125.98,6.495732047484711
7,1,128.98,6.5432774832124965
7,1,132,6.094260605460672
7,1,143.98,3.457117658653643
8,0,120,1.363835167144952
8,0,120.97,1.466182214737202
8,0,122,1.8338838179049524
8,0,125.98,2.4976121622821417
8,0,128.98,2.554795954870937
8,0,132,2.4076414354382996
8,0,143.98,1.3472322777838346
8,1,120,3.4753773887764923
8,1,120.97,3.8106952950330184
8,1,122,4.823341765121035
8,1,125.98,6.495732047484711
8,1,128.98,6.5432774832124965
8,1,132,6.094260605460672
8,1,143.98,3.457117658653643
9,0,120,1.363835167144952
9,0,121,1.466182214737202
9,0,122.02,1.8338838179049524
9,0,126,2.4976121622821417
9,0,129,2.554795954870937
9,0,131.97,2.4144469961755792
9,0,144,1.3472322777838346
9,1,120,3.4753773887764923
9,1,121,3.9161643442619725
9,1,122.02,4.900411601872434
9,1,126,6.509276071646356
9,1,129,6.5347003794439615
9,1,131.97,6.094260605460672
9,1,144,3.4376430072422655
10,0,120,1.363835167144952
10,0,121.03,1.466182214737202
10,0,122,1.8045292815106915
