id,time,block
id49,0.6000000000000001,0
id49,0.8,0
id49,1,0
id5,0,0
id5,0.2,0
id5,0.4,0
id5,0.6000000000000001,0
id5,0.8,0
id5,1,0
id50,0,0
id50,0.2,0
id50,0.4,0
id50,0.6000000000000001,0
id50,0.8,0
id50,1,0
id51,0,0
id51,0.2,0
id51,0.4,0
id51,0.6000000000000001,0
id51,0.8,0
id51,1,0
id52,0,0
id52,0.2,0
id52,0.4,0
id52,0.6000000000000001,0
id52,0.8,0
id52,1,0
id53,0,0
id53,0.2,0
id53,0.4,0
id53,0.6000000000000001,0
id53,0.8,0
id53,1,0
id54,0,0
id54,0.2,0
id54,0.4,0
id54,0.6000000000000001,0
id54,0.8,0
id54,1,0
id55,0,0
id55,0.2,0
id55,0.4,0
id55,0.6000000000000001,0
id55,0.8,0
id55,1,0
id56,0,0
id56,0.2,0
id56,0.4,0
id56,0.6000000000000001,0
id56,0.8,0
id56,1,0
id57,0,0
id57,0.2,0
id57,0.4,0
id57,0.6000000000000001,0
id57,0.8,0
id57,1,0
id58,0,0
id58,0.2,0
id58,0.4,0
id58,0.6000000000000001,0
id58,0.8,0
id58,1,0
id59,0,0
id59,0.2,0
id59,0.4,0
id59,0.6000000000000001,0
id59,0.8,0
id59,1,0
id6,0,0
id6,0.2,0
id6,0.4,0
id6,0.6000000000000001,0
id6,0.8,0
id6,1,0
id60,0,0
id60,0.2,0
id60,0.4,0
id60,0.6000000000000001,0
id60,0.8,0
id60,1,0
id61,0,0
id61,0.2,0
id61,0.4,0
id61,0.6000000000000001,0
id61,0.8,0
id61,1,0
id62,0,0
id62,0.2,0
id62,0.4,0
id62,0.6000000000000001,0
id62,0.8,0
id62,1,0
id63,0,0
id63,0.2,0
id63,0.4,0
id63,0.6000000000000001,0
id63,0.8,0
id63,1,0
id64,0,0
id64,0.2,0
id64,0.4,0
id64,0.6000000000000001,0
id64,0.8,0
id64,1,0
id65,0,0
id65,0.2,0
id65,0.4,0
id65,0.6000000000000001,0
id65,0.8,0
id65,1,0
id66,0,0
id66,0.2,0
id66,0.4,0
id66,0.6000000000000001,0
id66,0.8,0
id66,1,0
id67,0,0
id67,0.2,0
id67,0.4,0
id67,0.6000000000000001,0
id67,0.8,0
id67,1,0
id68,0,0
id68,0.2,0
id68,0.4,0
id68,0.6000000000000001,0
id68,0.8,0
id68,1,0
id69,0,0
id69,0.2,0
id69,0.4,0
id69,0.6000000000000001,0
id69,0.8,0
id69,1,0
id7,0,0
id7,0.2,0
id7,0.4,0
id7,0.6000000000000001,0
id7,0.8,0
id7,1,0
id70,0,0
id70,0.2,0
id70,0.4,0
id70,0.6000000000000001,0
id70,0.8,0
id70,1,0
id71,0,0
id71,0.2,0
id71,0.4,0
id71,0.6000000000000001,0
id71,0.8,0
id71,1,0
id72,0,0
id72,0.2,0
id72,0.4,0
id72,0.6000000000000001,0
id72,0.8,0
id72,1,0
id73,0,0
id73,0.2,0
id73,0.4,0
id73,0.6000000000000001,0
id73,0.8,0
id73,1,0
id74,0,0
id74,0.2,0
id74,0.4,0
id74,0.6000000000000001,0
id74,0.8,0
id74,1,0
id75,0,0
id75,0.2,0
id75,0.4,0
id75,0.6000000000000001,0
id75,0.8,0
id75,1,0
id76,0,0
id76,0.2,0
id76,0.4,0
id76,0.6000000000000001,0
id76,0.8,0
id76,1,0
id77,0,0
id77,0.2,0
id77,0.4,0
id77,0.6000000000000001,0
id77,0.8,0
id77,1,0
id78,0,0
id78,0.2,0
id78,0.4,0
id78,0.6000000000000001,0
id78,0.8,0
id78,1,0
id79,0,0
id79,0.2,0
id79,0.4,0
id79,0.6000000000000001,0
id79,0.8,0
id79,1,0
id8,0,0
id8,0.2,0
id8,0.4,0
id8,0.6000000000000001,0
id8,0.8,0
id8,1,0
id80,0,0
id80,0.2,0
id80,0.4,0
id80,0.6000000000000001,0
id80,0.8,0
id80,1,0
id81,0,0
id81,0.2,0
id81,0.4,0
id81,0.6000000000000001,0
id81,0.8,0
id81,1,0
id82,0,0
id82,0.2,0
id82,0.4,0
id82,0.6000000000000001,0
