cycle,converged,status,neg2ll,nspp,gamlam.0,gamlam.1,gamlam.2,cls.mean,cls.median,cls.sd,k30.mean,k30.median,k30.sd,k40.mean,k40.median,k40.sd,qs.mean,qs.median,qs.sd,vps.mean,vps.median,vps.sd,vs.mean,vs.median,vs.sd,fm1.mean,fm1.median,fm1.sd,fm2.mean,fm2.median,fm2.sd,theta1.mean,theta1.median,theta1.sd,theta2.mean,theta2.median,theta2.sd
89,false,Continue,2717.5164710538525,22,1.33033,1.66635,1.72398,0.060478830688761635,0.021267367082708794,0.009647412559895088,0.1969251522607485,0.1727619002693477,0.015420993398078623,2.045533018633844,1.7902290175265463,0.6849455660401065,0.23509982272026916,0.21065672830632526,0.04082849279245806,14.615488847261533,1.0679161371847108,3187.5764093779358,0.5994109306748394,0.5353267255875482,0.1576753185274988,0.05360036560651555,0.049363855294943956,0.0002951652631112897,0.03985092163241483,0.03662240193212875,0.00022507835823511998,-0.811314024379551,-0.5438429304984294,3.329889471042289,-0.25284927542464747,-0.2634621036695213,0.1439157216264635
90,false,Continue,2717.435898578587,22,1.33033,1.66635,1.72398,0.060418486515424585,0.021267367082708794,0.009616342803558612,0.19683621115994956,0.1727619002693477,0.01543309818554751,2.0461876606177674,1.7902290175265463,0.685252275164126,0.23559617976519992,0.21065672830632526,0.040885626428450776,15.221202200571964,1.0679161371847108,3516.2993281405056,0.5983040545314496,0.5353267255875482,0.15751383197242033,0.05356145663124052,0.04936375446941827,0.0002939482333996519,0.03988598166296006,0.03662240193212875,0.0002252417884715845,-0.8107004720905114,-0.5438429304984294,3.330146610823815,-0.25554294287635954,-0.2637341233874836,0.14427704943516823
91,false,Continue,2717.394340236365,22,1.33033,1.66635,1.72398,0.06049774903668869,0.021267367082708794,0.009657190363623443,0.19680014508173044,0.1727619002693477,0.015438108652241494,2.047886100728401,1.7902290175265463,0.6861296154617029,0.23573505201467967,0.21065672830632526,0.04090355098565544,15.858069787644764,1.0679161371847108,3878.8529507334683,0.5978941304602938,0.5353267255875482,0.15746769469607869,0.053531350009428325,0.04936375446941827,0.0002930519422050913,0.039892333130474245,0.03662240193212875,0.00022527662905095098,-0.8051611431712199,-0.5438429304984294,3.350237195539404,-0.2554826406057329,-0.2637341233874836,0.14429861954008968
92,false,Continue,2717.3782545185522,22,1.33033,1.66635,1.72398,0.06052562084018172,0.021267367082708794,0.009671619656426891,0.19680078790667166,0.1727619002693477,0.015438018847061297,2.0479834394546232,1.7902290175265463,0.6861837419886394,0.2358227675818794,0.21065672830632526,0.04091530988962068,16.52663102002535,1.0679161371847108,4278.747284602677,0.5976157984381799,0.5353267255875482,0.15744058260989025,0.05352658690244554,0.04936375446941827,0.0002929137957521499,0.03989437828833306,0.03662240193212875,0.00022528822543031268,-0.8053576979666762,-0.5438429304984294,3.3511205464206917,-0.25544444764339563,-0.2637341233874836,0.14431236391191615
93,false,Continue,2717.374890262061,22,1.33033,1.66635,1.72398,0.06053790552179665,0.021267367082708794,0.009677990315415838,0.19680627716044297,0.1727619002693477,0.01543725271718641,2.0480062063856,1.7902290175265463,0.6861964620088902,0.235836448092907,0.21065672830632526,0.04091717437802553,17.22881778056822,1.0679161371847108,4719.806860577174,0.5975805160647009,0.5353267255875482,0.15743738921514192,0.0535239190640625,0.04936375446941827,0.0002928368554214313,0.03989127556495293,0.03662240193212875,0.00022527070467090698,-0.8047563837128974,-0.5438429304984294,3.3484234918072944,-0.25542062187537456,-0.2637341233874836,0.14432097051841528
94,false,Continue,2717.3661398481568,22,1.33033,1.66635,1.72398,0.06053511674767889,0.021267367082708794,0.009676543514713367,0.19681574209604655,0.1727619002693477,0.015435934819107626,2.048008886878579,1.7902290175265463,0.6861979611169753,0.23591652476226346,0.21065672830632526,0.04092825303158514,17.966223626498298,1.0679161371847108,5206.2628575495455,0.5973480871237863,0.5353267255875482,0.15741772108137755,0.05353239193737274,0.04936375446941827,0.0002930822947575508,0.03989774335708001,0.03662240193212875,0.00022530770644742156,-0.8044586349155335,-0.5438429304984294,3.3470938984220004,-0.2553826481732427,-0.2637341233874836,0.14433473942619543
95,false,Continue,2717.3467838953825,22,1.33033,1.66635,1.72398,0.06070406045072652,0.021267367082708794,0.00976480813862438,0.19685459559261032,0.1727619002693477,0.015430566157898758,2.049434648691572,1.7902290175265463,0.6870401465634695,0.23613654014525096,0.21065672830632526,0.04096014483427443,18.739766142407042,1.0679161371847108,5742.809497325985,0.5969404870504141,0.5353267255875482,0.15738896923801823,0.053539734221703876,0.04936375446941827,0.00029329753819992655,0.03991883883726033,0.03662240193212875,0.00022544118431208998,-0.8047586268799184,-0.5438429304984294,3.3484335234449816,-0.2553495321395341,-0.2637341233874836,0.14434679878164586
96,false,Continue,2717.335727401792,22,1.33033,1.66635,1.72398,0.06070364589527779,0.021267367082708794,0.00976459001714104,0.19685423509762703,0.1727619002693477,0.0154306156647453,2.0494548581680685,1.7902290175265463,0.687052727021443,0.23613147645562707,0.21065672830632526,0.04095938689340697,19.55261618544177,1.0679161371847108,6334.539674555298,0.5969284254720031,0.5353267255875482,0.1573882297813453,0.05354012901032323,0.04936375446941827,0.00029330917886284517,0.039919426026857614,0.03662240193212875,0.00022544517974931825,-0.8047136421841117,-0.5438429304984294,3.3482323902791298,-0.25518621655662693,-0.2637341233874836,0.1444069766672271
97,false,Continue,2717.328252569806,22,1.33033,1.66635,1.72398,0.06063102302425023,0.021267367082708794,0.009726495636656868,0.19681804356990265,0.1727619002693477,0.015435614957541453,2.0500558663766713,1.7902290175265463,0.6874350702339894,0.23621187732765503,0.21065672830632526,0.04097155467770573,20.406273479731254,1.0679161371847108,6987.137391038427,0.596803845469899,0.5353267255875482,0.15738096668291449,0.05354125758295294,0.04936375446941827,0.00029334249356589696,0.0399309842797491,0.03662240193212875,0.00022552691438531932,-0.8032790624936236,-0.5438429304984294,3.341864870462973,-0.25517478162534,-0.2637341233874836,0.14441123412759072
98,false,Continue,2717.3282434383054,22,1.33033,1.66635,1.72398,0.06063102302425023,0.021267367082708794,0.009726495636656868,0.19681804356990265,0.1727619002693477,0.015435614957541453,2.0500558663766713,1.7902290175265463,0.6874350702339894,0.23621187732765503,0.21065672830632526,0.04097155467770573,21.302429507820083,1.0679161371847108,7706.867128776691,0.596803845469899,0.5353267255875482,0.15738096668291449,0.05354125758295294,0.04936375446941827,0.00029334249356589696,0.0399309842797491,0.03662240193212875,0.00022552691438531932,-0.8032790624936236,-0.5438429304984294,3.341864870462973,-0.25517478162534,-0.2637341233874836,0.14441123412759072
