cycle,converged,status,neg2ll,nspp,gamlam.1,ke.mean,ke.median,ke.sd,v.mean,v.median,v.sd
100,false,Continue,-424.2678085911897,44,0.00000,0.18628889245770192,0.10133848758935929,0.02959956125118661,108.52043455297297,103.90459179878235,829.5208232750606
101,false,Continue,-424.3045738445441,44,0.00000,0.18628889245770192,0.10133848758935929,0.02959956125118661,108.52243206717752,103.92656445503235,829.2462705773695
102,false,Continue,-424.33510546628503,45,0.00000,0.1885989731555515,0.104416601395607,0.029166985227399224,108.62939405441284,104.0697729587555,810.6286374132183
103,false,Continue,-424.3600949577516,45,0.00000,0.1885989731555515,0.104416601395607,0.029166985227399224,108.63134717941284,104.0697729587555,810.3854651966664
104,false,Continue,-424.3813446502972,44,0.00000,0.18628889245770194,0.10133848758935929,0.02959956125118661,108.52442958138205,103.99248242378235,828.6337122121874
105,false,Continue,-424.3999194274057,44,0.00000,0.18634214174747468,0.10133848758935929,0.029611014389809745,108.34565206007524,104.01445508003235,828.1816933516208
106,false,Continue,-424.4159445934362,44,0.00000,0.1816780756522309,0.09708888940811158,0.029554069198966783,108.31184232776815,104.01445508003235,828.2945262703796
107,false,Continue,-424.4320630219548,46,0.00000,0.17741965824106465,0.09416017847061159,0.028651962624648322,108.07860348535621,104.01445508003235,797.2684009195139
108,false,Continue,-424.4491434802076,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.42061829566956,104.0470278263092,809.7608275299764
109,false,Continue,-424.46497816101567,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.42061829566956,104.0697729587555,809.5940755253879
110,false,Continue,-424.4800526713558,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.41964173316956,104.0697729587555,809.4533015640146
111,false,Continue,-424.4944007855741,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.42061829566956,104.0697729587555,809.3519666835062
112,false,Continue,-424.508171942687,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.42159485816956,104.0697729587555,809.2508931964584
113,false,Continue,-424.5213613165465,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.42257142066956,104.0697729587555,809.1500811028708
114,false,Continue,-424.5339641768057,46,0.00000,0.17741965824106465,0.09416017847061159,0.028651962624648322,108.08242481687795,104.0478003025055,796.4234426200668
115,false,Continue,-424.5459759316804,46,0.00000,0.17741965824106465,0.09416017847061159,0.028651962624648322,108.08338014975838,104.0478003025055,796.3260482415756
116,false,Continue,-424.55739341449913,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.42647767066956,104.0697729587555,808.8235745610139
117,false,Continue,-424.5682095631492,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.42745423316956,104.0697729587555,808.7238060905703
118,false,Continue,-424.57842146225414,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.42843079566956,104.0697729587555,808.624299013587
119,false,Continue,-424.5880249840671,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.42940735816956,104.0697729587555,808.5250533300641
120,false,Continue,-424.5970161355508,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.43038392066956,104.0697729587555,808.4260690400016
121,false,Continue,-424.6053910649638,45,0.00000,0.1793297222079171,0.09591740503311158,0.02913150557475491,108.43136048316956,104.0697729587555,808.3273461433994
122,false,Continue,-424.6135568078512,45,0.00000,0.17931670571486155,0.09591740503311158,0.029135219649630836,108.43136048316956,104.0697729587555,808.2364583336558
123,false,Continue,-424.6252761943133,45,0.00000,0.17931670571486155,0.09591740503311158,0.029135219649630836,108.43233704566956,104.0697729587555,808.1381723932859
124,false,Continue,-424.636454570788,45,0.00000,0.17931670571486155,0.09591740503311158,0.029135219649630836,108.43331360816956,104.0697729587555,808.0401478463763
125,false,Continue,-424.6470884699865,45,0.00000,0.17931670571486155,0.09591740503311158,0.029135219649630836,108.43429017066956,104.0697729587555,807.9423846929271
126,false,Continue,-424.65717451353714,45,0.00000,0.17931670571486155,0.09591740503311158,0.029135219649630836,108.43526673316956,104.0697729587555,807.8448829329383
127,false,Continue,-424.66670941212953,45,0.00000,0.17931670571486155,0.09591740503311158,0.029135219649630836,108.43624329566956,104.0697729587555,807.7476425664098
128,false,Continue,-424.6756899659996,45,0.00000,0.17931670571486155,0.09591740503311158,0.029135219649630836,108.43721985816956,104.0697729587555,807.6506635933416
129,false,Continue,-424.6841810109747,45,0.00000,0.1793297222079171,0.09591740503311158,0.029131614740999068,108.43819642066956,104.0697729587555,807.5539460137338
130,false,Continue,-424.69777118556254,45,0.00000,0.1793297222079171,0.09591740503311158,0.029131614740999068,108.43819642066956,104.0697729587555,807.4725385936719
131,false,Continue,-424.71038723467314,46,0.00000,0.17741965824106465,0.09416017847061159,0.028652069364975944,108.09579947720404,104.0478003025055,794.8366634428372
132,false,Continue,-424.7220340073572,45,0.00000,0.1793297222079171,0.09591740503311158,0.029131614740999068,108.43819642066956,104.0697729587555,807.3107771301791
133,false,Continue,-424.7328524380831,45,0.00000,0.1793297222079171,0.09591740503311158,0.029131614740999068,108.43721985816956,104.0697729587555,807.1660081920691
134,false,Continue,-424.7428808117967,45,0.00000,0.1793297222079171,0.09591740503311158,0.029131614740999068,108.43624329566956,104.0697729587555,807.0215006474194
135,false,Continue,-424.75211922392435,45,0.00000,0.1793297222079171,0.09591740503311158,0.029131614740999068,108.43526673316956,104.0697729587555,806.8772544962302
136,false,Continue,-424.76056777791194,45,0.00000,0.1793297222079171,0.09591740503311158,0.029131614740999068,108.43429017066956,104.0697729587555,806.7332697385012
137,false,Continue,-424.76822658575657,45,0.00000,0.1793297222079171,0.09591740503311158,0.029131614740999068,108.43331360816956,104.0697729587555,806.5895463742327
138,false,Continue,-424.77603585959446,45,0.00000,0.17931670571486155,0.09591740503311158,0.02913534441105273,108.43136048316956,104.0697729587555,806.4523413760332
139,false,Continue,-424.7874221908378,45,0.00000,0.17931670571486155,0.09591740503311158,0.02913534441105273,108.43038392066956,104.0697729587555,806.309051066602
140,false,Continue,-424.79801251618653,45,0.00000,0.17931670571486155,0.09591740503311158,0.02913534441105273,108.42940735816956,104.0697729587555,806.1660221506311
141,false,Continue,-424.80780714571995,45,0.00000,0.17931670571486155,0.09591740503311158,0.02913534441105273,108.42843079566956,104.0697729587555,806.0232546281205
142,false,Continue,-424.8168064164518,45,0.00000,0.17931670571486155,0.09591740503311158,0.02913534441105273,108.42745423316956,104.0697729587555,805.8807484990704
143,false,Continue,-424.8250106937673,45,0.00000,0.17931670571486155,0.09591740503311158,0.02913534441105273,108.42647767066956,104.0697729587555,805.7385037634806
144,false,Continue,-424.83242037282184,45,0.00000,0.17931670571486155,0.09591740503311158,0.02913534441105273,108.42550110816956,104.0697729587555,805.5965204213512
145,false,Continue,-424.8390358800111,45,0.00000,0.17931670571486155,0.09591740503311158,0.02913534441105273,108.42452454566956,104.0697729587555,805.4547984726821
146,false,Continue,-424.8452411280747,45,0.00000,0.17931670571486155,0.09591740503311158,0.02913534441105273,108.42452454566956,104.0697729587555,805.2969139096749
